employee_id,first_name,last_name,email,territory_id,hire_date,is_active,created_at
1,Christopher,Perez,christopher.perez@machinetoolco.com,11,2012-02-24,True,2026-03-01 20:26:44
2,Betty,Clark,betty.clark@machinetoolco.com,8,2015-02-05,True,2026-03-01 20:26:44
3,Ashley,Hernandez,ashley.hernandez@machinetoolco.com,1,2021-03-23,True,2026-03-01 20:26:44
4,Charles,Brown,charles.brown@machinetoolco.com,1,2020-12-10,True,2026-03-01 20:26:44
5,Joseph,Jones,joseph.jones@machinetoolco.com,2,2020-04-27,True,2026-03-01 20:26:44
6,Betty,Johnson,betty.johnson@machinetoolco.com,5,2017-01-10,True,2026-03-01 20:26:44
7,David,Lewis,david.lewis@machinetoolco.com,4,2017-11-25,True,2026-03-01 20:26:44
8,Susan,Harris,susan.harris@machinetoolco.com,3,2015-11-22,True,2026-03-01 20:26:44
9,Michael,Walker,michael.walker@machinetoolco.com,1,2020-02-13,True,2026-03-01 20:26:44
10,Matthew,Robinson,matthew.robinson@machinetoolco.com,2,2014-11-22,True,2026-03-01 20:26:44
11,William,Lewis,william.lewis@machinetoolco.com,6,2020-10-14,True,2026-03-01 20:26:44
12,Jessica,Walker,jessica.walker@machinetoolco.com,9,2011-05-12,True,2026-03-01 20:26:44
13,Jennifer,Thompson,jennifer.thompson@machinetoolco.com,4,2016-06-24,True,2026-03-01 20:26:44
14,Margaret,White,margaret.white@machinetoolco.com,8,2012-10-15,True,2026-03-01 20:26:44
15,Barbara,Martin,barbara.martin@machinetoolco.com,1,2015-01-22,True,2026-03-01 20:26:44
16,Matthew,Harris,matthew.harris@machinetoolco.com,7,2020-06-16,True,2026-03-01 20:26:44
17,Joseph,Thomas,joseph.thomas@machinetoolco.com,2,2012-03-02,True,2026-03-01 20:26:44
18,Sandra,Harris,sandra.harris@machinetoolco.com,10,2014-07-01,True,2026-03-01 20:26:44
19,Lisa,Johnson,lisa.johnson@machinetoolco.com,6,2021-03-21,True,2026-03-01 20:26:44
20,Margaret,Wilson,margaret.wilson@machinetoolco.com,12,2016-12-15,True,2026-03-01 20:26:44
21,Nancy,Young,nancy.young@machinetoolco.com,5,2011-07-29,True,2026-03-01 20:26:44
22,Donald,Davis,donald.davis@machinetoolco.com,7,2013-04-06,True,2026-03-01 20:26:44
23,Anthony,Perez,anthony.perez@machinetoolco.com,4,2017-02-07,True,2026-03-01 20:26:44
24,Anthony,Clark,anthony.clark@machinetoolco.com,9,2017-03-03,True,2026-03-01 20:26:44
25,Susan,Moore,susan.moore@machinetoolco.com,2,2017-07-13,True,2026-03-01 20:26:44
26,Betty,Williams,betty.williams@machinetoolco.com,10,2017-04-26,True,2026-03-01 20:26:44
27,Linda,Clark,linda.clark@machinetoolco.com,5,2018-11-01,True,2026-03-01 20:26:44
28,Joseph,Johnson,joseph.johnson@machinetoolco.com,3,2011-11-25,True,2026-03-01 20:26:44
